Id,TIÊU ĐỀ CỦA SÁCH?(Ví dụ: Nhà Giả Kim),TÊN TÁC GIẢ?(Ví dụ: Paulo Coelho),CHỦ ĐỀ?,NHÀ XUẤT BẢN?(Ví dụ: NXB văn học)
1,luyện cát thành vàng,Jonathan Yabut,Kỹ năng mềm,nxb hồng đức
2,luyện cát thành vàng,jonathan yabut,Kỹ năng mềm,nxb hồng đức
3,Bình tĩnh khi ế mạnh mẽ khi yêu,"Ellen fein, sherrie schneider",Tâm lý - Giáo dục,NXB phụ nữ
4,Thế giới phẳng,Thomas L.friedman,Lịch sử - Địa lý,Nhà xuất bản trẻ
5,Tuổi trẻ 4.0,rocky scopelliti,Kinh tế - Quản trị,nxb công thương
6,Mở lối tiên phong ,FPT,Other,NXB Thanh niên
7,do big things,angela v. paccione,Kỹ năng mềm,nxb lao động
8,Trở về không,Joe Vitale,Triết học - Tôn giáo - Tâm linh,NXB Thế Giới
9,Kỹ năng lập kế hoạch hiệu quả,shinamoto hidenori,Kỹ năng mềm,nxb thế giới
10,Mở Lối Tiên Phong ,FPT,Other,NXB Thanh Niên
11,Tâm Tĩnh Lặng,Christoper K. Germer,Tâm lý - Giáo dục,NXB Hà Nội
12,search inside yourself,chade meng tan,Kinh tế - Quản trị,nxb lao động
13,"7 CÂU HỎI ""THẦN KỲ"" CỦA MỌI SẾP GIỎI",MICHAEL BUNGAY STANIER,Kỹ năng mềm,NXB THẾ GIỚI
14,Bar blood máu bẩn ,John Carreyrou ,Kinh tế - Quản trị,Alphabooks
15,Đâu phải vì yêu,Debbie Macomber,Văn học - Tiểu thuyết,NXB Hội nhà văn
16,Mặc kệ thiên hạ Sống như người Nhật,Mari Tamagawa,Tâm lý - Giáo dục,Nhà xuất bản Hà Nội
17,Trăng Non,Stephenie Meyer,Văn học - Tiểu thuyết,NXB Trẻ
18,kỷ luật tích cực trong thực hành làm cha mẹ hàng ngày,joan e.durant,Kỹ năng mềm,nxb đồng nai
19,Mở Lối Tiên Phong,FPT,Other,NXB Thanh Niên
20,NÚI THIÊNG (LINH SƠN),CAO HÀNH KIỆN,Văn học - Tiểu thuyết,NXB VĂN HỌC
21,Nhật thực ,Stephenie Meyer,Văn học - Tiểu thuyết,NXB Trẻ
22,Tản Văn,Giả Bình Ao,Văn học - Tiểu thuyết,NXB văn học
23,Tôi không thích ồn ào,Ashley Davis Bush,Tâm lý - Giáo dục,NXB Hà Nội
24,Mở Lối Tiên Phong ,FPT,Other,NXB Thanh Niên
25,Kỹ năng quản lý cảm xúc,khánh ca,Kỹ năng mềm,nxb dân trí
26,Mở Lối Tiên Phong,FPT,Other,NXB Thanh Niên
27,Cuộc đời thứ hai của Bree Tanner,Stephenie Meyer,Văn học - Tiểu thuyết,NXB Trẻ
28,Software Engineering,Sommerville,Khoa học tự nhiên - Kỹ thuật,Addison Wesley
29,Mở Lối Tiên Phong ,FPT,Other,NXB Thanh Niên
30,2030,mauro f. guillen,Kinh tế - Quản trị,nxb thế giới
31,7AHA KHƠI SÁNG TINH THẦN & GIẢI TỎA STRESS,MIKE GEORGE,Tâm lý - Giáo dục,NXB TRẺ
32,Mở Lối Tiên Phong,FPT,Other,NXB Thanh Niên
33,Search Inside Yourself,Chade-Meng Tan,Kỹ năng mềm,NXB Lao Động
34,Bình pháp tôn tử,Tôn vũ ,Kỹ năng mềm,NXB Văn Học 
35,Tìm mình trong thế giới hậu tuổi thơ,Đặng Hoàng Giang,Pháp luật - Chính trị - Xã hội,NXB Hội Nhà Văn
36,Sự trỗi dậy và suy tàn của Đế chế thứ Ba - Lịch sử Đức Quốc Xã,William L.Shirer,Lịch sử - Địa lý,NXB thông tin và truyền thông
37,bạn là những gì bạn mong ước,jordanna levin,Tâm lý - Giáo dục,nxb thế giới
38,Mở Lối Tiên Phong,FPT,Other,NXB Thanh Niên
39,Software Engineering,Sommerville,Khoa học tự nhiên - Kỹ thuật,Addison Wesley
40,The Java tutorial continued the rest of the JDK,"Mary compione, kathy ưalrath, alison huml and the tutorial team",Khoa học tự nhiên - Kỹ thuật,Addision wesley
41,Bí quyết của thành công,David Niven ,Kỹ năng mềm,NXB trẻ
42,Software Engineering,Sommerville,Khoa học tự nhiên - Kỹ thuật,Addison Wesley
43,Mở Lối Tiên Phong,FPT,Other,NXB Thanh Niên
44,làm đĩ,vũ trọng phụng,Văn học - Tiểu thuyết,nxb văn học
45,Software Engineering,Sommerville,Khoa học tự nhiên - Kỹ thuật,Addison Wesley
46,PM chuyện tôi kể ,Fsoft,Kinh tế - Quản trị,Fsoft 
47,Mở Lối Tiên Phong,FPT,Other,NXB Thanh Niên
48,Software Engineering,Sommerville,Khoa học tự nhiên - Kỹ thuật,Addison Wesley
49,Đam mê bí quyết tạo thành công,"Stephen R.Covey , Jennifer Colosimo",Kỹ năng mềm,NXB trẻ
50,Software Engineering,Sommerville,Khoa học tự nhiên - Kỹ thuật,Addison Wesley
51,Mở Lối Tiên Phong,FPT,Other,NXB Thanh Niên
52,TRU TIÊN,TIÊU ĐỈNH,Văn học - Tiểu thuyết,NXB VĂN HÓA - THÔNG TIN
53,Software Engineering,Sommerville,Khoa học tự nhiên - Kỹ thuật,Addison Wesley
54,Dạy con làm giàu - tập x,rich dad’s,Kinh tế - Quản trị,nxb trẻ
55,Software Engineering,Sommerville,Khoa học tự nhiên - Kỹ thuật,Addison Wesley
56,Software Engineering,Sommerville,Khoa học tự nhiên - Kỹ thuật,Addison Wesley
57,Thần Thái Uy Nghi Dẫu Quỳ Vẫn Oai,Oopsy,Kỹ năng mềm,NXB Phụ Nữ
58,Software Engineering,Sommerville,Khoa học tự nhiên - Kỹ thuật,Addison Wesley
59,Thái độ quyết định thành công ,Wayne Cordeiro,Tâm lý - Giáo dục,NXB tổng hợp TP HCM
60,dạy con làm giàu - tập 9,Robert T.Kiyosaki,Kinh tế - Quản trị,nxb trẻ
61,Đùng lựa chọn an nhàn khi còn trẻ ,Cảnh Thiên,Kỹ năng mềm,NXB Thế Giới
62,Software Engineering,Sommerville,Khoa học tự nhiên - Kỹ thuật,Addison Wesley
63,Nhà lãnh đạo kim cương - 7 bước xây dựng đội ngũ tài năng giúp doanh nghiệp tăng 300% lợi nhuận,Michelle Nguyen,Kỹ năng mềm,NXB thế giới 
64,Sherlock Holmes 1: Chiếc nhẫn tình cờ,Conan Doyle,Văn học - Tiểu thuyết,NXB Công An Nhân Dân
65,Buổi sáng diệu kỳ,"Hal Elrod, Pat Petrini",Kỹ năng mềm,NXB Lao động
66,Software Engineering,Sommerville,Khoa học tự nhiên - Kỹ thuật,Addison Wesley
67,Bí quyết gây dựng cơ nghiệp bạc tỷ,Adam Khoo,Kỹ năng mềm,NXB phụ nữ
68,Software Engineering,Sommerville,Khoa học tự nhiên - Kỹ thuật,Addison Wesley
69,Software Engineering,Sommerville,Khoa học tự nhiên - Kỹ thuật,Addison Wesley
70,Sherlock Holmes 2: Truy tìm dấu bộ tứ,Conan Doyle,Văn học - Tiểu thuyết,NXB Công An Nhân Dân
71,Hoàng cục kinh thế,triệu khang tiết,Triết học - Tôn giáo - Tâm linh,nxb hông đức
72,Software Engineering,Ian Sommerville,Khoa học tự nhiên - Kỹ thuật,Addison-wesley
73,một đời quản trị,phan văn trường,Kinh tế - Quản trị,nhà xuất bản trẻ
74,CHICKEN SOUP FOR THE TRAVELER'S SOUL: TRẢI NGHIỆM TỪ NHỮNG CHUYẾN ĐI,"JACK CANFIELD, MARK VICTOR HANSEN, STEVE ZIKMAN",Kỹ năng mềm,NXB TRẺ
75,Software Engineering,Sommerville,Khoa học tự nhiên - Kỹ thuật,Addison Wesley
76,Sherlock Holmes 3: Hồi ức về Sherlock Holmes,Conan Doyle,Văn học - Tiểu thuyết,NXB Công An Nhân Dân
77,Software Engineering,Sommerville,Khoa học tự nhiên - Kỹ thuật,Addison Wesley
78,Lấy tình thâm mà đổi đầu bạc ,Vãn Tình ,Văn học - Tiểu thuyết,NXB Thế Giới
79,từ tốt đến vĩ đại,jim collins,Kinh tế - Quản trị,nxb trẻ
80,Sống theo phương thức 80/20,Richard Koch,Kinh tế - Quản trị,NXB trẻ
81,Nghĩ Như Một Tỷ Phú ,Donald J.TrumP and Meredith Mc IVER ,Kinh tế - Quản trị,NXB Trẻ
82,Du hành cùng Herodotus,Ryszard Kapuscinski,Hồi ký - Tiểu sử - Tự truyện,NXB Văn hóa Sài Gòn
83,10 Câu nói Vạn năng ,Rich Devos,Kỹ năng mềm,NXB Tổng hợp TP. Hồ Chí Minh
84,tứ thứ,diêm liên khoa,Văn học - Tiểu thuyết,nxb hội nhà văn
85,Sherlock Holmes 3B: Những cuộc phiêu lưu của Sherlock Holmes ,Conan Doyle,Văn học - Tiểu thuyết,NXB Công An Nhân Dân
86,Thấu hiểu tiếp thị từ A-Z ,Philip Kotler,Kinh tế - Quản trị,NXB Trẻ
87,Content Marketing trong kỷ nguyên 4.0,Alexander Jutkowitz,Kinh tế - Quản trị,NXB lao động
88,từ tốt đến vĩ đại,jim collins,Kinh tế - Quản trị,nxb trẻ
89,Trà Hoa Nữ,Alexandre Dumas con,Văn học - Tiểu thuyết,NXB Văn Học
90,Nữ sinh,Nguyễn Nhật Ánh,Văn học - Tiểu thuyết,NXB Trẻ
91,Bí quyết thành công của steve jobs,Kim Thác Đao,Kinh tế - Quản trị,NXB Hồng Đức
92,7 thói quen của bạn trẻ thành đạt,sean covey,Kỹ năng mềm,nxb tổng hợp tphcm
93,TANGRAM AKUTELL,GOETHE-INSTITUT VIETNAM,Ngoại ngữ,GOETHE-INSTITUT VIETNAM
94,Những gì bạn biết về mình đều sai,Don Miguel Ruiz,Tâm lý - Giáo dục,NXB Hà Nội
95,TOEFL iBT :internet Based Test with 2 Audio CDs,Pamela J.Sharpe,Ngoại ngữ,NXB Trẻ
96,Flat Eye,FPT Software,Khoa học tự nhiên - Kỹ thuật,NXB Lao Động Xã Hội
97,Thuật thúc đẩy nhân viên ,Brian Tracy,Kỹ năng mềm,NXB thế giới 
98,Sherlock Holmes 3A: Những Cuộc Phiêu Lưu của Sherlock Holmes ,Conan Doyle,Văn học - Tiểu thuyết,NXB Công An Nhân Dân
99,động lực chèo lái hành vi,daniel h pink,Kỹ năng mềm,nxb lao động xã hội
100,Flat Eye,FPT Software,Other,NXB Lao Động Xã Hội
101,Content hay nói thay nước bọt,MediaZ,Kỹ năng mềm,NXB thế giới
102,TOEFL WORD blash,Milada Broukal,Ngoại ngữ,NXB Trẻ
103,Sherlock Holmes Toàn tập,Sir Arthur Conan Doyle,Văn học - Tiểu thuyết,NXB Văn học
104,động lực chèo lái hành vi,daniel h pink,Kỹ năng mềm,nxb lao động xã hội
105,Sherlock Holmes 5B: Sherlock Holmes Trở Lại,Conan Doyle,Văn học - Tiểu thuyết,NXB Công An Nhân Dân
106,Lãnh đạo bằng câu hỏi ,Michael J.Marquardt ,Kỹ năng mềm,NXB thế giới
107,hành trình tới thành công,jonh c maxwell,Kỹ năng mềm,nxb lao động xã hội
108,Mê Cung Ảnh,Sergei Lukianenko,Văn học - Tiểu thuyết,NXB Lao động
109,Tôi có một chén rượu có thể xoa dịu hồng trần ,Quan Đông Dã Khách ,Văn học - Tiểu thuyết,NXH Hồng Đức
110,Flat Eye,FPT Software,Other,FPT Software
111,NTC's Preparation for the TOEFL,Milada Broukal,Ngoại ngữ,National Textbook Company
112,phẩm chất vàng của nhà lãnh đạo 21,john c maxwell,Kỹ năng mềm,nxb lao động xã hội
113,SECRETS OF POWER,RHONDA BYRNE,Kỹ năng mềm,SIMON & SCHUSTER
114,nguyên tắc vàng trong làm việc nhóm,john c maxwell,Kỹ năng mềm,nxb lao động xã hội
115,Bí mật ở Cannes,Trung Nghĩa,Nghệ thuật - Giải trí,tủ sách Tuổi Trẻ
116,Cuốn theo chiều gió ,Margaret Mitchell,Văn học - Tiểu thuyết,NXB Văn học 
117,làm chủ bộ não,david rock,Kỹ năng mềm,nxb lao động
118,Bọ Cạp và câu chuyện tình yêu ,Linda Goodman,Triết học - Tôn giáo - Tâm linh,NXB Lao Động
119,TOEFL PRACTICE TESTS 2000,Bruce Rogers,Ngoại ngữ,PETERSON'S
120,10 điều khác biệt nhất giữa kẻ thắng và người thua,Keith Cameron Smith,Tâm lý - Giáo dục,NXB Dân Trí
121,TOEFL PRACTICE TESTS 2002,Bruce Rogers,Ngoại ngữ,PETERSON'S
122,Cuốn Theo Chiều Gió 2,Margaret Mitchell ,Văn học - Tiểu thuyết,NXB văn học 
123,Start up nation,dan senor và saul singer,Kinh tế - Quản trị,NXB thế giới
124,Ỷ thiên đồ Long ký ,Kim dung ,Văn học - Tiểu thuyết,NXB Văn học
125,Quà tặng tinh thần dành cho phụ nữ,Jack Canfield & Mark Victor Hansen ,Tâm lý - Giáo dục,NXB Trẻ
126,Sherlock Holmes 6: Con Chó Của Dòng Họ Baskerville,Conan Doyle,Văn học - Tiểu thuyết,NXB Công An Nhân Dân
127,Start up nation,dan senor và saul singer,Kinh tế - Quản trị,NXB thế giới
128,trại trẻ đặc biệt của cô peregrine,ransom riggs,Văn học - Tiểu thuyết,nxb văn học
129,Hạt giống tâm hồn và tình yêu thương gia đình,Nhiều tác giả,Tâm lý - Giáo dục,NXB Tổng Hợp Thành Phố Hồ Chí Minh
130,Sừng Rượu Thề,Nghiêm Đa Văn,Văn học - Tiểu thuyết,NXB Kim Đồng
131,Khoảng cách từ nói đến làm ,Jeffrey Pfeffer,Kinh tế - Quản trị,NXB Lao động - Xã hội
132,Start up nation,dan senor và saul singer,Kinh tế - Quản trị,NXB thế giới
133,Kính Vạn Hoa - Tóc ngắn tóc dài ,Nguyễn Nhật Ánh ,Văn học - Tiểu thuyết,NXB Kim Đồng 
134,HOW TO PREPARE FOR THE TOEIC BRIDGE TEST,Lin Lougheed,Ngoại ngữ,NXB Trẻ
135,túp lều bác Tom,Harriet beecher stowe,Văn học - Tiểu thuyết,nxb văn học
136,Đời thay đổi khi ta thay đổi 1,Andrew Matthews ,Tâm lý - Giáo dục,NXB Trẻ
137,Start up nation,dan senor và saul singer,Kinh tế - Quản trị,NXB thế giới
138,Oxford Business English Dictionary for learners of English ,Dilys Parkinson,Ngoại ngữ,Oxford University Press
139,báo ứng,philip roth,Văn học - Tiểu thuyết,nxb trẻ
140,Start up nation,dan senor và saul singer,Kinh tế - Quản trị,Nxb thế giới
141,Nếu biết trăm năm là hữu hạn,Phạm Lữ Ân,Văn học - Tiểu thuyết,NXB thế giới
142,SLEEPLESS NIGHTS AND KISSES FOR BREAKFAST: REFLECTIONS ON FATHERHOOD,MATTEO BUSSOLA,Hồi ký - Tiểu sử - Tự truyện,TARCHER PERIGEE
143,Trí tuệ do thái ,Eran Katz,Kỹ năng mềm,Nxb Lao động - Xã hội
144,Đời thay đổi khi chúng ta thay đổi ,andrew Matthews,Tâm lý - Giáo dục,NXB trẻ
145,Kính Vạn Hoa - Má lúm đồng tiền ,Nguyễn Nhật Ánh ,Văn học - Tiểu thuyết,NXB Kim Đồng
146,Sherlock Holmes 7: Thung Lũng Khủng Khiếp,Conan Doyle,Văn học - Tiểu thuyết,NXB Công An Nhân Dân
147,Ngôi trường mọi khi ,Nguyễn Nhật Ánh ,Văn học - Tiểu thuyết,NXB Trẻ
148,15 năm FPT TPHCM,FPT,Other,FPT
149,Jeff bezos và kỷ nguyên amazon,Brad stone,Kinh tế - Quản trị,Nxb lao động
150,Quên hôm qua sống cho ngày mai ,"Tian Dayton, Ph.D",Tâm lý - Giáo dục,NXB tổng hợp TP HCM
151,Cô gái đến từ hôm qua ,Nguyễn Nhật Ánh ,Văn học - Tiểu thuyết,NXB Trẻ
152,thông điệp của nước,masaru emoto,Triết học - Tôn giáo - Tâm linh,nxb lao động
153,Lịch sử thế giới,Nguyễn Hiến Lê- Thiên Giang,Lịch sử - Địa lý,NXB Văn Hóa
154,The Prince (Quân Vương),Niccolo Machiavelli,Văn học - Tiểu thuyết,NXB Dân trí
155,CON NGỰA THÀNH TROY: CUỘC PHIÊU LƯU VĨ ĐẠI NHẤT THẾ GIỚI,DAVID CLEMENT-DAVIES,Lịch sử - Địa lý,NXB GIÁO DỤC; NXB THẾ GIỚI
156,Sherlock Holmes 8: Cung Đàn Sau Cuối,Conan Doyle,Văn học - Tiểu thuyết,NXB Công An Nhân Dân
157,totto- chan bên cửa sổ,kuroyanagi tetsuko,Văn học - Tiểu thuyết,nxb hội nhà văn
158,15 năm FPT TPHCM,FPT,Other,FPT
159,Sống thực tế giữa đời thực dụng ,Mễ Mông ,Tâm lý - Giáo dục,NXB Dân Trí
160,Giải Pháp Đột Phá,JAY ABRAHAM,Kinh tế - Quản trị,NXB Phụ Nữ
161,Bầu trời không chỉ có màu xanh ,Lí Quý Trung,Kinh tế - Quản trị,NXB Trẻ
162,Business English & Communication Skills,MDIS,Học liệu,MDIS
163,săn mộ thông thiên la thành,hoàng yến,Văn học - Tiểu thuyết,nxb văn học
164,Sống hạnh phúc ,Andrew Matthews ,Tâm lý - Giáo dục,NXB Đà Nẵng
165,Thai Giáo,Phạm Thị Thúy,Y học - Sức khỏe - Thể thao,NXB Phụ nữ
166,Sherlock Holmes 9: Tàng Thư của Sherlock Holmes,Conan Doyle,Văn học - Tiểu thuyết,NXB Công An Nhân Dân
167,ZEPPELIN: THỜI ĐẠI CỦA KHÍ CẦU,ANDREW DONKIN,Lịch sử - Địa lý,NXB GIÁO DỤC; NXB THẾ GIỚI
168,ung thư,Ty bollinger,Y học - Sức khỏe - Thể thao,nxb thế giới
169,Kế Bạn ,Andrew Matthews ,Tâm lý - Giáo dục,NXB Đà Nẵng
170,90 ngày đầu tiên làm sếp,Michael Watkins,Kinh tế - Quản trị,NXB lao động - xã hội
171,Đường Xưa Mây Trắng,Thích Nhất Hạnh,Triết học - Tôn giáo - Tâm linh,NXB Phương Đông
172,Xuất Khẩu Cười,Lê Hoàng ,Văn học - Tiểu thuyết,NXB Thanh Niên
173,Lần đầu làm sếp,Loren B.Belker & Gary S.Topchik,Kinh tế - Quản trị,NXB Lao động xã hội
174,Hayx theo trái tim của bạn ,Andrew Matthews ,Tâm lý - Giáo dục,NXB Đà Nẵng
175,SOUND ADVICE: A BASIS FOR LEARNING,STACY A.HAGEN,Ngoại ngữ,NXB TPHCM
176,những mẫu chuyển lịch sử văn minh thế giới,đặng đức an,Tâm lý - Giáo dục,nxb giáo dục
177,Tuyển tập chúng ta 10 năm ,FPT Software,Other,FPT Software
178,Kim cương trong mỏ vàng - Go for Gold,John C.Maxwell,Kinh tế - Quản trị,NXB lao động - xã hội
179,Cảm nhận thế nào đời cho thế đó ,Andrew Matthews ,Tâm lý - Giáo dục,NXB Trẻ
180,Tuyển tập chúng ta 10 năm ,FPT Software,Other,FPT Software
181,Không Ai Qua Sông,Nguyễn Ngọc Tư,Văn học - Tiểu thuyết,NXB Trẻ
182,Bắt trẻ đồng xanh,J.D.Salinger,Văn học - Tiểu thuyết,NXB Văn Học
183,Phép màu điện ảnh,Anne Cottringer,Nghệ thuật - Giải trí,NXB Thế giới
184,Người Nam Châm ,Jack Canfield và D.D. Watkins,Tâm lý - Giáo dục,NXB Lao động Xã hội
185,Gián điệp mạng. Cuộc rượt đuổi ngoạn mục trong mê lộ máy tính,Clifford Stoll,Khoa học tự nhiên - Kỹ thuật,NXB Công Thương
186,thánh địa mỹ sớn,ngô văn doanh,Lịch sử - Địa lý,nxb trẻ
187,Sương khói quê nhà,Nguyễn Nhật Ánh,Văn học - Tiểu thuyết,NXB trẻ
188,Vị đắng những chuyến đi xa ,Trần Ngọc Châu ,Hồi ký - Tiểu sử - Tự truyện,NXB Trẻ
189,Personal Finance for Dummies,Eric Tyson,Kinh tế - Quản trị,WILEY
190,Liêu trai chí dị,Bồ Tùng linh ,Văn học - Tiểu thuyết,NXB Văn học
191,"Bánh Mì Thơm, Cà Phê Đắng",Ngô Thị Giáng Uyên,Nghệ thuật - Giải trí,NXB Trẻ
192,NHÀ TỰ NHIÊN KINH TẾ: TẠI SAO KINH TẾ HỌC CÓ THỂ LÝ GIẢI MỘT ĐIỀU,ROBERT H.FRANK,Kinh tế - Quản trị,NXB TRẺ
193,Giáo trình lý thuyết và bài tập Java,Trần Tiến Dũng,Khoa học tự nhiên - Kỹ thuật,NXB Lao Động Xã Hội
194,Junie B. Jones và Chiếc xe buýt bốc mùi ngớ ngẩn,Barbara Park,Văn học - Tiểu thuyết,NXB Hội nhà văn
195,Cú hích - Nudge,Richard H.Thaler & Cass R. Sunstein,Kinh tế - Quản trị,NXB tổng hợp thành phố Hồ Chí Minh 
196,bí ẩn về chọn ngày,vương ngọc đức,Triết học - Tôn giáo - Tâm linh,nxb hà nội
197,Kỷ yếu ngày nhân sự Việt Nam 2011,Pga.ts Lê quân và cộng sự,Kinh tế - Quản trị,Nxb thông tin và truyền thông
198,Đảo Mộng Mơ,Nguyễn Nhật Ánh,Văn học - Tiểu thuyết,NXB Trẻ
199,Đối thoại với các nền văn hóa Syria,Trịnh Huy Hóa,Văn học - Tiểu thuyết,NXB Trẻ
200,Chia sẻ tâm hồn và quà tặng cuộc sống,"Jack Canfield, Mark Victor Hansen",Tâm lý - Giáo dục,NXB Tổng hợp TP HCM
201,Lập trình thiết kế web trong ASP .NET với các ví dụ C#,"Nguyễn Ngọc Tuấn, Hồng Phúc",Khoa học tự nhiên - Kỹ thuật,NXB Thống Kê
202,THE 7 HABITS HIGHLY EFFECTIVE TEENS,SEAN COVEY,Kỹ năng mềm,TOUCHSTONE
203,the fine art of the big talk,Debra Fine,Kinh tế - Quản trị,NXB lao động
204,Quán Gò Đi Lên,Nguyễn Nhật Ánh,Văn học - Tiểu thuyết,NXB Trẻ
205,Đối thoại với các nền văn hóa Brazil,Trịnh Huy Hóa,Văn học - Tiểu thuyết,NXB Trẻ
206,Love or Money?,ROWENA AKINYEMI,Văn học - Tiểu thuyết,NXB Đồng Nai
207,Tôi nghĩ tôi thích nước Mỹ,Dương Thụy,Văn học - Tiểu thuyết,NXB Trẻ
208,phong thuỷ huyền không phi tinh,elizabeth moran,Triết học - Tôn giáo - Tâm linh,nxb lao động xã hội
209,Đối thoại với các nền văn hóa Cameroon,Trịnh Huy Hóa,Văn học - Tiểu thuyết,NXB Trẻ
210,Ai lấy miếng pho mát của tôi,Spencer Johnson,Tâm lý - Giáo dục,NXB Tổng hợp TP HCM 
211,Lối sống tối giản của người Nhật,Sasaki Fumio,Kỹ năng mềm,NXB lao động
212,Đối thoại với các nền văn hóa Afghanistan,Trịnh Huy Hóa,Văn học - Tiểu thuyết,NXB Trẻ
213,Bí mật của nước,howard murad,Y học - Sức khỏe - Thể thao,nxb lao động
214,Java concurrency in practice,Brian Goetz,Khoa học tự nhiên - Kỹ thuật,Addison Wesley
215,Mùa hè năm Petrus,Lê Văn Nghĩa,Văn học - Tiểu thuyết,NXB Trẻ
216,Đối thoại với các nền văn hóa Myanmar,Trịnh Huy Hóa ,Văn học - Tiểu thuyết,NXB Trẻ
217,bí mật của nước,howard murad,Y học - Sức khỏe - Thể thao,nxb lao động
218,Fundamentals of marketing ,MDIS,Học liệu,MDIS
219,Tập Viết Chữ Hoa,Đỗ Chiêu Đức,Ngoại ngữ,NXB Trẻ
220,Đối thoại với các nền văn hóa Yemen,Trịnh Huy Hoá,Văn học - Tiểu thuyết,NXB Trẻ
221,Azit Nexin: Tuyển Chọn Truyện Ngắn,Nhiều tác giả (Nam Hà tuyển chọn),Văn học - Tiểu thuyết,NXB Lao Động
222,Đồ Tể,Nguyễn Trí,Văn học - Tiểu thuyết,NXB Trẻ
223,Dám thất bại ,Billi P.S.Lim ,Tâm lý - Giáo dục,NXB Trẻ
224,Đối thoại với các nền văn hóa Pakistan,Trịnh Huy Hóa,Văn học - Tiểu thuyết,NXB Trẻ
225,Management of human resouce & the practice of management,MDIS,Học liệu,MDIS
226,Đối thoại với các nền văn hóa Lebanon,Trịnh Huy Hóa,Văn học - Tiểu thuyết,NXB Trẻ
227,Xin chào ấn độ,hồ anh thái,Lịch sử - Địa lý,nxb văn nghệ
228,Long Hot Summer,K.S.Rodriguez,Văn học - Tiểu thuyết,NXB Đồng Nai
229,60h trị mất gốc tiếng anh ,Pasal,Ngoại ngữ,Nxb hồng đức 
230,Tâm huyết trao đời ,Nguyễn Ngọc Ký,Hồi ký - Tiểu sử - Tự truyện,NXB Tổng hợp TP.HCM
231,Chuyện phần mềm 2.0,FPT Software,Other,NXB Lao Động Xã Hội
232,Điều Bí Mật Khủng Khiếp,Stefan Zweig,Văn học - Tiểu thuyết,NXB Hội Nhà Văn
233,LEARN & PRACTICE VIETNAMESE,LÊ KHÁNH VY,Ngoại ngữ,NXB TỔNG HỢP TPHCM
234,Bài học diệu kì từ chiếc xe rác,David J. Pollay,Tâm lý - Giáo dục,NXB Tổng hợp TPHCM
235,Người Đan Chữ Xếp Thuyền,Miura Shion,Văn học - Tiểu thuyết,NXB Thế Giowia
236,Điểm Mù (Blind Spots),"Max H. Bazerman, Ann E. Tenbrunsel",Kinh tế - Quản trị,NXB Thanh Niên
237,Tự đào giếng trước khi chết khát,Harvey mackay,Kinh tế - Quản trị,Nxb đại học kinh tế quốc dân
238,Cambridge Ielts 2 with answer ediion,University of Cambridge local examinations syndicate,Ngoại ngữ,NXB thống kê
239,Nhân tố Enzyme - Trẻ hoá,Hiromi Shinya,Y học - Sức khỏe - Thể thao,NXB Thế Giới
240,Cho tôi xin một vé đi tuổi thơ,Nguyễn Nhật Ánh,Văn học - Tiểu thuyết,NXB Trẻ
241,DEVELOPING SKILLS FOR THE TOEIC TEST,"PAUL EDMUNDS, ANNE TAYLOR",Ngoại ngữ,FIRST NEWS
242,Người thông minh giải quyết vấn đề như thế nào,Ken Watanabe,Kỹ năng mềm,NXB trẻ
243,Tiếng ve mùa hạ cũ ,Từ Kế Tường ,Văn học - Tiểu thuyết,NXB Mỹ Thuật 
244,chuyện phiêu lưu của mít đặc và các bạn,ni cô lai nô xốp,Văn học - Tiểu thuyết,nxb đông á
245,Thắp Lửa Tâm Linh,Minh Đức Triều Tâm Ảnh,Triết học - Tôn giáo - Tâm linh,NXB Thời Đại
246,Tất cả đều là chuyện nhỏ,Richard Carlson,Tâm lý - Giáo dục,NXB Tổng hợp TPHCM
247,Cambridge Ielts 3 with answers edition,University of Cambridge Local Examinations syndicate,Ngoại ngữ,NXB thống kê
248,Làm sao biết mưa về ,Từ Kế Tường ,Văn học - Tiểu thuyết,NXB Mỹ Thuật
249,Khi hơi thở hoá thinh không,paul kalanithi,Y học - Sức khỏe - Thể thao,nxb lao động
250,10 điều tạo nên số phận,David Simon,Tâm lý - Giáo dục,NXB Tổng hợp TPHCM
251,Người Đàn Ông Mang Tên Ove,Fredrik Backman,Văn học - Tiểu thuyết,NXB Trẻ
252,Mùa thu bay mưa ,Từ Kế Tường ,Văn học - Tiểu thuyết,NXB Mỹ Thuật 
253,Time Tested. Tesing Improved,RBCS,Khoa học tự nhiên - Kỹ thuật,RBCS
254,Cambridge ielts 4 with answer edition,University of Cambridge Local Examinations syndicate,Ngoại ngữ,NXB thống kê
255,Time Tested. Tesing Improved,RBCS,Khoa học tự nhiên - Kỹ thuật,RBCS
256,Thời đại ý tưởng và thành công,Nguyễn Thành Sinh,Lịch sử - Địa lý,NXB Tổng hợp TP. Hồ Chí Minh
257,khi hơi thoẻ hoá tinh không,paul kalanithi,Y học - Sức khỏe - Thể thao,nxb lao động
258,Dặm Dài Đã Qua (A long way gone: Memoirs of a boy soldier),Ishmael Beah,Hồi ký - Tiểu sử - Tự truyện,NXB Văn hóa - Thông tin
259,Công dân toàn cầu - Công dân vũ trụ,Phan Văn Trường,Tâm lý - Giáo dục,NXB Trẻ
