code,title,author,category,publisher,quantity, coverImage
unvs5qs3,FT1 - Gián điệp mạng. Cuộc rượt đuổi ngoạn mục trong mê lộ máy tính,Clifford Stoll,Khoa học tự nhiên - Kỹ thuật,NXB Công Thương,1
ls2tizh6,FT1 - thánh địa mỹ sớn,ngô văn doanh,Lịch sử - Địa lý,nxb trẻ,1
hu6zk72l,FT1 - Sương khói quê nhà,Nguyễn Nhật Ánh,Văn học - Tiểu thuyết,NXB trẻ,1
gxmqk3oj,FT1 - Vị đắng những chuyến đi xa,Trần Ngọc Châu,Hồi ký - Tiểu sử - Tự truyện,NXB Trẻ,1
1w1gjg6b,FT1 - Personal Finance for Dummies,Eric Tyson,Kinh tế - Quản trị,WILEY,1
lsu4bt9n,FT1 - Liêu trai chí dị,Bồ Tùng linh,Văn học - Tiểu thuyết,NXB Văn học,1
lsu4bt9m,FT1 - Bánh Mì Thơm Cà Phê Đắng,Ngô Thị Giáng Uyên,Nghệ thuật - Giải trí,NXB Trẻ,1
vs9zolzj,FT1 - NHÀ TỰ NHIÊN KINH TẾ: TẠI SAO KINH TẾ HỌC CÓ THỂ LÝ GIẢI MỘT ĐIỀU,ROBERT H.FRANK,Kinh tế - Quản trị,NXB TRẺ,1
ys7iyd4b,FT1 - Giáo trình lý thuyết và bài tập Java,Trần Tiến Dũng,Khoa học tự nhiên - Kỹ thuật,NXB Lao Động Xã Hội,1
28mgefga,FT1 - Junie B. Jones và Chiếc xe buýt bốc mùi ngớ ngẩn,Barbara Park,Văn học - Tiểu thuyết,NXB Hội nhà văn,1
pa8c1x4o,FT1 - Cú hích - Nudge,Richard H.Thaler & Cass R. Sunstein,Kinh tế - Quản trị,NXB tổng hợp thành phố Hồ Chí Minh,1
i2n8nf9u,FT1 - bí ẩn về chọn ngày,vương ngọc đức,Triết học - Tôn giáo - Tâm linh,nxb hà nội,1
synbhro8,FT1 - Kỷ yếu ngày nhân sự Việt Nam 2011,Pga.ts Lê quân và cộng sự,Kinh tế - Quản trị,Nxb thông tin và truyền thông,1
62zyxbvx,FT1 - Đảo Mộng Mơ,Nguyễn Nhật Ánh,Văn học - Tiểu thuyết,NXB Trẻ,1
zvyu4iow,FT1 - Đối thoại với các nền văn hóa Syria,Trịnh Huy Hóa,Văn học - Tiểu thuyết,NXB Trẻ,1
zvyu4ion,FT1 - Chia sẻ tâm hồn và quà tặng cuộc sống,Jack Canfield Mark Victor Hansen,Tâm lý - Giáo dục,NXB Tổng hợp TP HCM,1
zvyu4iom,FT1 - Lập trình thiết kế web trong ASP .NET với các ví dụ C#,Nguyễn Ngọc Tuấn Hồng Phúc,Khoa học tự nhiên - Kỹ thuật,NXB Thống Kê,1
hp1u1opq,FT1 - THE 7 HABITS HIGHLY EFFECTIVE TEENS,SEAN COVEY,Kỹ năng mềm,TOUCHSTONE,1
2qs2zmls,FT1 - the fine art of the big talk,Debra Fine,Kinh tế - Quản trị,NXB lao động,1
84w7si4f,FT1 - Quán Gò Đi Lên,Nguyễn Nhật Ánh,Văn học - Tiểu thuyết,NXB Trẻ,1
6qi2oxys,FT1 - Đối thoại với các nền văn hóa Brazil,Trịnh Huy Hóa,Văn học - Tiểu thuyết,NXB Trẻ,1
at6dpibp,FT1 - Love or Money?,ROWENA AKINYEMI,Văn học - Tiểu thuyết,NXB Đồng Nai,1
1mlfp7w6,FT1 - Tôi nghĩ tôi thích nước Mỹ,Dương Thụy,Văn học - Tiểu thuyết,NXB Trẻ,1
n94y1mjo,FT1 - phong thuỷ huyền không phi tinh,elizabeth moran,Triết học - Tôn giáo - Tâm linh,nxb lao động xã hội,1
00hpm4b3,FT1 - Đối thoại với các nền văn hóa Cameroon,Trịnh Huy Hóa,Văn học - Tiểu thuyết,NXB Trẻ,1
358ygu4i,FT1 - Ai lấy miếng pho mát của tôi,Spencer Johnson,Tâm lý - Giáo dục,NXB Tổng hợp TP HCM,1
e006zxcu,FT1 - Lối sống tối giản của người Nhật,Sasaki Fumio,Kỹ năng mềm,NXB lao động,1
qmt3uf87,FT1 - Đối thoại với các nền văn hóa Afghanistan,Trịnh Huy Hóa,Văn học - Tiểu thuyết,NXB Trẻ,1
rt00ydl8,FT1 - Bí mật của nước,howard murad,Y học - Sức khỏe - Thể thao,nxb lao động,2
z192oiou,FT1 - Java concurrency in practice,Brian Goetz,Khoa học tự nhiên - Kỹ thuật,Addison Wesley,1
axdvtuyy,FT1 - Mùa hè năm Petrus,Lê Văn Nghĩa,Văn học - Tiểu thuyết,NXB Trẻ,1
e1fa93j4,FT1 - Đối thoại với các nền văn hóa Myanmar,Trịnh Huy Hóa,Văn học - Tiểu thuyết,NXB Trẻ,1
5ei2r9br,FT1 - Fundamentals of marketing,MDIS,Học liệu,MDIS,1
07v8652z,FT1 - Tập Viết Chữ Hoa,Đỗ Chiêu Đức,Ngoại ngữ,NXB Trẻ,1
82epnkq8,FT1 - Đối thoại với các nền văn hóa Yemen,Trịnh Huy Hoá,Văn học - Tiểu thuyết,NXB Trẻ,1
3yyq2a6k,FT1 - Azit Nexin: Tuyển Chọn Truyện Ngắn,Nhiều tác giả (Nam Hà tuyển chọn),Văn học - Tiểu thuyết,NXB Lao Động,1
iohkjhyw,FT1 - Đồ Tể,Nguyễn Trí,Văn học - Tiểu thuyết,NXB Trẻ,1
9l88v0tw,FT1 - Dám thất bại,Billi P.S.Lim,Tâm lý - Giáo dục,NXB Trẻ,1
jtentnbl,FT1 - Đối thoại với các nền văn hóa Pakistan,Trịnh Huy Hóa,Văn học - Tiểu thuyết,NXB Trẻ,1
rfunbj2a,FT1 - Management of human resouce & the practice of management,MDIS,Học liệu,MDIS,1
